Date;Headline;Description
18/04/2021;Peak fear? Bitcoin funding rates crash to lowest levels in 7 months.;The funding rate of Bitcoin dropped to a level unseen since September 2020, signaling fear in the market.
18/04/2021;The perils of suing crypto exchanges after ransomware attacks;As seen in the case of AA v. Bitfinex, targeting a crypto exchange over stolen funds is a high-risk, low-reward proposition.
18/04/2021;Bitcoin on balance sheet attracts negative attention from anti-crypto banks;Having over 90,000 BTC on the balance sheet could see a company۪'s stock blacklisted by banks that remain crypto detractors.
18/04/2021;Bitcoin price drops to $52K, liquidating almost $10B;Fears of regulatory moves come as a brief hash rate crash from a Chinese power blackout already begins to rebound.
18/04/2021;Bitcoin dips under $60,000 ��� What's pulling down BTC price?;The price of Bitcoin suddenly dropped below $60,000 days after the Coinbase public listing.
18/04/2021;Is Bitcoin becoming the 'Google' of crypto as BTC market cap nears new milestone?;Bitcoin is nearing the market capitalization of Google, but why is this an important trend to observe?
17/04/2021;Bitcoin to close April above $90K? When & where this bull wave will top;Analyst PlanB calculated Bitcoin could reach $92K by the end of April...but will it actually get there? Watch this interview with trader Eric Crown to find out!
17/04/2021;The crypto FBAR: Implications beyond;What crypto owners should know if crypto accounts fall within the new Foreign Bank and Financial Accounts regulations.
17/04/2021;When will Bitcoin price rally end? Here is what�۪s backing the BTC bull run;Are BTC prices sustaining due to a continuous stream of good news, or is there more at play?
17/04/2021;You can�۪t talk about blockchain and not bring up CBDCs and stablecoins;Economies are currently experiencing the development of brand new ideas around CBDCs, stablecoins or private digital currencies.
17/04/2021;Investors' on-chain activity hints at Bitcoin price cycle top above $166,000;The Bitcoin cycle top would likely come in at price levels above $166,000 per coin if history repeats.
16/04/2021;Price analysis 4/16: BTC, ETH, BNB, XRP, DOGE, ADA, DOT, LTC, UNI, LINK;Bitcoin�۪s weakness and Dogecoin�۪s epic pump are signals that the market could be overheating and in need of a short-term correction.
16/04/2021;What the forks? Bitcoin Cash and Ethereum Classic see triple-digit rallies;Following Dogecoin�۪s lead, Ethereum Classic rallied to a new all-time high and Bitcoin Cash doubled as altcoin forks have started to gain traction.
16/04/2021;Bitcoin hash rate hits record 200 EH/s in fresh BTC price bull flag;The old adage ���price follows hash rate�۝ may be about to see one of its biggest tests in the past 12 years.
16/04/2021;Cathie Woods' Ark buys a further $110M worth of Coinbase shares;Three exchange-traded funds offered by Cathie Wood�۪s Ark Invest added a total of 341,186 shares in Coinbase, worth a combined $110 million, on Thursday.
16/04/2021;r/Wallstreetbets rebans crypto discussions following Bloomberg article;Apparently, r/Wallstreetbets doesn�۪t ���bow to cryptocurrencies.�۝
16/04/2021;Did Elon Musk�۪s ���jet fuel�۪ set GameStop (and Bitcoin) ablaze?;How many gallons of jet fuel does it take to send GameStop, Bitcoin and Dogecoin to the moon?
16/04/2021;Turkey to ban cryptocurrency payments;Turkey�۪s central bank is also banning payments providers from offering fiat-to-crypto onramps for cryptocurrency exchanges.
16/04/2021;Dogecoin doubles in a day as YTD gains hit 5,000%, while Bitcoin price dips;Everyone�۪s favorite meme cryptocurrency has delivered 12,600% gains in a year and likely created a string of millionaires.
16/04/2021;Chinese mining pools�۪ hash power plummets amid regional blackouts;Blackouts for safety inspections in China�۪s Xinjiang region have significantly impacted the hash rate of many top Chinese Bitcoin mining pools.
16/04/2021;Jim Cramer cashes out half his 'phoney money' Bitcoin to pay off mortgage;CNBC host Jim Cramer says he�۪s ���won,�۝ cashing out half of his Bitcoin portfolio to pay off his mortgage, stating that it�۪s ���phoney money paying for real money.�۝
16/04/2021;Our Man in Shanghai: Coinbase listing scorned, graphics cards seized, nostalgia coins rule;Coinbase and cryptocurrencies viewed cynically on Chinese social media, and news of a large mining GPU smuggling bust in Hong Kong.
16/04/2021;Dogecoin (DOGE) and Maker (MKR) soar as the altcoin market cap tops $1T;Dogecoin and Maker stole the spotlight as the hype around COIN faded and Bitcoin consolidates near $63,500.
